不同副本号的数量：555
每个副本和它们的出现次数：
 fb_id  count
 18003     95
 18004     82
 18005     84
 18006     87
 18007     82
 18008     84
 18009     83
 18010     89
 19001     79
 19002     76
 19003     76
 19004     73
 19005     71
 19006     67
 19007     65
 19008     63
 19009     60
 19010     67
 20001     61
 20002     62
 20003     59
 20004     62
 20005     58
 20006     57
 20007     56
 20008     52
 20009     52
 20010     58
 21001     55
 21002     55
 21003     57
 21004     59
 21005     59
 21006     59
 21007     57
 21008     57
 21009     57
 21010     64
 22001     59
 22002     59
 22003     60
 22004     58
 22005     58
 22006     58
 22007     56
 22008     56
 22009     54
 22010     53
 23001     49
 23002     46
 23003     45
 23004     47
 23005     49
 23006     50
 23007     48
 23008     47
 23009     43
 23010     52
 24001     44
 24002     38
 24003     38
 24004     37
 24005     37
 24006     38
 24007     37
 24008     37
 24009     34
 24010     39
 25001     35
 25002     36
 25003     38
 25004     40
 25005     43
 25006     44
 25007     44
 25008     47
 25009     44
 25010     47
 26001     44
 26002     42
 26003     41
 26004     40
 26005     41
 26006     42
 26007     42
 26008     43
 26009     45
 26010     45
 27001     40
 27002     39
 27003     40
 27004     41
 27005     36
 27006     35
 27007     35
 27008     34
 27009     35
 27010     35
 28001     33
 28002     36
 28003     36
 28004     34
 28005     31
 28006     31
 28007     31
 28008     33
 28009     32
 28010     30
 29001     29
 29002     29
 29003     27
 29004     27
 29005     25
 29006     24
 29007     26
 29008     32
 29009     23
 29010     24
 30001     22
 30002     18
 30003     18
 30004     19
 30005     16
 30006     17
 30007     18
 30008     17
 30009     13
 30010     14
 31001     10
 31002     13
 31003     12
 31004     13
 31005     14
 31006     18
 31007     16
 31008     17
 31009     17
 31010     18
 32001     17
 32002     17
 32003     16
 32004     20
 32005     19
 32006     19
 32007     18
 32008     15
 32009     17
 32010     15
 33001     14
 33002     13
 33003     12
 33004     11
 33005      9
 33006      8
 33007      8
 33008      7
 33009      7
 33010      7
 34001     10
 34002     11
 34003     11
 34004     11
 34005     12
 34006     12
 34007     12
 34008     13
 34009     14
 34010     12
 35001     11
 35002     11
 35003     13
 35004     13
 35005     12
 35006     16
 35007     15
 35008     18
 35009     17
 35010     21
 36001     17
 36002     14
 36003     14
 36004     15
 36005     13
 36006     13
 36007     16
 36008     13
 36009     16
 36010     16
 37001     14
 37002     15
 37003     14
 37004     13
 37005     13
 37006     19
 37007     22
 37008     13
 37009     14
 37010     14
 38001     12
 38002     12
 38003     13
 38004     12
 38005     13
 38006     13
 38007     10
 38008     12
 38009      9
 38010      9
 39001      6
 39002      6
 39003      7
 39004      7
 39005      7
 39006      8
 39007      8
 39008      9
 39009      7
 39010      8
 40001      8
 40002      7
 40003      6
 40004      5
 40005      6
 40006      5
 40007      5
 40008      8
 40009      6
 40010      8
 41001      6
 41002      8
 41003     10
 41004      9
 41005      8
 41006      6
 41007      6
 41008      5
 41009      5
 41010      5
 42001      6
 42002      6
 42003      6
 42004      8
 42005     10
 42006     10
 42007     11
 42008      8
 42009      9
 42010      9
 43001      6
 43002      6
 43003      6
 43004      5
 43005      5
 43006      5
 43007      3
 43008      1
 43009      2
 43010      5
 44001      1
 44002      1
 44003      1
 44004      2
 44005      2
 44006      1
 44007      1
 44008      1
 44009      1
 44010      1
 45001      1
 45002      1
 45003      1
 45004      2
 45005      3
 45006      4
 45007      3
 45008      2
 45009      2
 45010      2
 50000     14
 50501    919
 50502    913
 50503    902
 50504    888
 50505    867
 50506    860
 50507    822
 50508    804
 50509    717
 50701      6
 51100    811
 51201    119
 51300   1798
 60101   4333
 61003      1
 61004      1
 61017      7
 61018      7
 63002      1
 63012      2
 63101      2
 63103      2
 63112      2
 63202      4
 63301      5
 63303      1
 63312      5
 63403      3
 63412      4
 63501      2
 63503      2
 63512      3
 66001     23
 66201   9719
 71401     11
 71402    908
 71601   2096
 79201    553
 80201   1812
 80202   2557
 80203   2075
 80204   1518
 80205   1105
 80206   1750
 80207    934
 80208   3338
 80301   1404
 80302    943
 80303   2560
 80304   1582
 80305   1704
 80306   1551
 80307   1056
 80308   1745
 80309   4119
 80608     26
 80701    814
 80702    796
 80703    791
 80704    773
 81001     26
 81100      5
 81101    690
 81102    585
 81103    264
 81104    186
 81105    115
 81106     62
 81107     38
 81108     28
 81109      7
 81110     23
 81111     10
 81112      1
 81114      4
 81601   4484
 81701   3402
 81801      9
 81802      9
 81901      8
 82001     13
